,ID,Pred,Season,LTeam,RTeam,SeedL,SeedR,RegL,RegR,Upset
67,2019_1113_1120,0.5,2019,1113,1120,11,5,X,Y,0
68,2019_1113_1124,0.5,2019,1113,1124,11,9,X,X,0
69,2019_1113_1125,0.5,2019,1113,1125,11,11,X,W,0
70,2019_1113_1133,0.5,2019,1113,1133,11,15,X,W,0
71,2019_1113_1138,0.5,2019,1113,1138,11,6,X,X,0
72,2019_1113_1153,0.5,2019,1113,1153,11,7,X,Z,0
73,2019_1113_1159,0.5,2019,1113,1159,11,15,X,Z,0
74,2019_1113_1181,0.5,2019,1113,1181,11,1,X,W,0
75,2019_1113_1192,0.5,2019,1113,1192,11,16,X,X,0
76,2019_1113_1196,0.5,2019,1113,1196,11,10,X,X,0
77,2019_1113_1199,0.5,2019,1113,1199,11,4,X,X,0
78,2019_1113_1205,0.5,2019,1113,1205,11,16,X,Z,0
79,2019_1113_1209,0.5,2019,1113,1209,11,14,X,Y,0
80,2019_1113_1211,0.5,2019,1113,1211,11,1,X,X,0
81,2019_1113_1222,0.5,2019,1113,1222,11,3,X,Y,0
82,2019_1113_1233,0.5,2019,1113,1233,11,16,X,Y,0
83,2019_1113_1234,0.5,2019,1113,1234,11,10,X,Z,0
84,2019_1113_1235,0.5,2019,1113,1235,11,6,X,Y,0
85,2019_1113_1242,0.5,2019,1113,1242,11,4,X,Y,0
86,2019_1113_1243,0.5,2019,1113,1243,11,4,X,Z,0
87,2019_1113_1246,0.5,2019,1113,1246,11,2,X,Y,0
88,2019_1113_1251,0.5,2019,1113,1251,11,12,X,W,0
89,2019_1113_1257,0.5,2019,1113,1257,11,7,X,W,0
90,2019_1113_1261,0.5,2019,1113,1261,11,3,X,W,0
91,2019_1113_1266,0.5,2019,1113,1266,11,5,X,X,0
92,2019_1113_1268,0.5,2019,1113,1268,11,6,X,W,0
93,2019_1113_1276,0.5,2019,1113,1276,11,2,X,X,0
94,2019_1113_1277,0.5,2019,1113,1277,11,2,X,W,0
95,2019_1113_1278,0.5,2019,1113,1278,11,10,X,W,0
96,2019_1113_1279,0.5,2019,1113,1279,11,8,X,Z,0
97,2019_1113_1280,0.5,2019,1113,1280,11,5,X,W,0
98,2019_1113_1285,0.5,2019,1113,1285,11,15,X,X,0
99,2019_1113_1293,0.5,2019,1113,1293,11,12,X,X,0
100,2019_1113_1295,0.5,2019,1113,1295,11,16,X,W,0
101,2019_1113_1297,0.5,2019,1113,1297,11,14,X,X,0
102,2019_1113_1300,0.5,2019,1113,1300,11,16,X,W,0
103,2019_1113_1305,0.5,2019,1113,1305,11,7,X,X,0
104,2019_1113_1308,0.5,2019,1113,1308,11,12,X,Y,0
105,2019_1113_1314,0.5,2019,1113,1314,11,1,X,Y,0
106,2019_1113_1318,0.5,2019,1113,1318,11,13,X,Y,0
107,2019_1113_1326,0.5,2019,1113,1326,11,11,X,Y,0
108,2019_1113_1328,0.5,2019,1113,1328,11,9,X,Z,0
109,2019_1113_1330,0.5,2019,1113,1330,11,14,X,Z,0
110,2019_1113_1332,0.5,2019,1113,1332,11,12,X,Z,0
111,2019_1113_1341,0.5,2019,1113,1341,11,16,X,X,0
112,2019_1113_1345,0.5,2019,1113,1345,11,3,X,Z,0
113,2019_1113_1371,0.5,2019,1113,1371,11,10,X,Y,0
114,2019_1113_1385,0.5,2019,1113,1385,11,11,X,X,0
115,2019_1113_1387,0.5,2019,1113,1387,11,13,X,W,0
116,2019_1113_1388,0.5,2019,1113,1388,11,11,X,Z,0
117,2019_1113_1393,0.5,2019,1113,1393,11,8,X,X,0
118,2019_1113_1396,0.5,2019,1113,1396,11,11,X,W,0
119,2019_1113_1397,0.5,2019,1113,1397,11,2,X,Z,0
120,2019_1113_1403,0.5,2019,1113,1403,11,3,X,X,0
121,2019_1113_1414,0.5,2019,1113,1414,11,13,X,Z,0
122,2019_1113_1416,0.5,2019,1113,1416,11,9,X,W,0
123,2019_1113_1429,0.5,2019,1113,1429,11,8,X,Y,0
124,2019_1113_1433,0.5,2019,1113,1433,11,8,X,W,0
125,2019_1113_1436,0.5,2019,1113,1436,11,13,X,X,0
126,2019_1113_1437,0.5,2019,1113,1437,11,6,X,Z,0
127,2019_1113_1438,0.5,2019,1113,1438,11,1,X,Z,0
128,2019_1113_1439,0.5,2019,1113,1439,11,4,X,W,0
129,2019_1113_1449,0.5,2019,1113,1449,11,9,X,Y,0
130,2019_1113_1458,0.5,2019,1113,1458,11,5,X,Z,0
131,2019_1113_1459,0.5,2019,1113,1459,11,7,X,Y,0
132,2019_1113_1463,0.5,2019,1113,1463,11,14,X,W,0
133,2019_1120_1124,0.5,2019,1120,1124,5,9,Y,X,0
134,2019_1120_1125,0.5,2019,1120,1125,5,11,Y,W,0
135,2019_1120_1133,0.5,2019,1120,1133,5,15,Y,W,0
136,2019_1120_1138,0.5,2019,1120,1138,5,6,Y,X,0
137,2019_1120_1153,0.5,2019,1120,1153,5,7,Y,Z,0
138,2019_1120_1159,0.5,2019,1120,1159,5,15,Y,Z,0
139,2019_1120_1181,0.5,2019,1120,1181,5,1,Y,W,0
140,2019_1120_1192,0.5,2019,1120,1192,5,16,Y,X,0
141,2019_1120_1196,0.5,2019,1120,1196,5,10,Y,X,0
142,2019_1120_1199,0.5,2019,1120,1199,5,4,Y,X,0
143,2019_1120_1205,0.5,2019,1120,1205,5,16,Y,Z,0
144,2019_1120_1209,0.5,2019,1120,1209,5,14,Y,Y,0
145,2019_1120_1211,0.5,2019,1120,1211,5,1,Y,X,0
146,2019_1120_1222,0.5,2019,1120,1222,5,3,Y,Y,0
147,2019_1120_1233,0.5,2019,1120,1233,5,16,Y,Y,0
148,2019_1120_1234,0.5,2019,1120,1234,5,10,Y,Z,0
149,2019_1120_1235,0.5,2019,1120,1235,5,6,Y,Y,0
150,2019_1120_1242,0.5,2019,1120,1242,5,4,Y,Y,0
151,2019_1120_1243,0.5,2019,1120,1243,5,4,Y,Z,0
152,2019_1120_1246,0.5,2019,1120,1246,5,2,Y,Y,0
153,2019_1120_1251,0.5,2019,1120,1251,5,12,Y,W,0
154,2019_1120_1257,0.5,2019,1120,1257,5,7,Y,W,0
155,2019_1120_1261,0.5,2019,1120,1261,5,3,Y,W,0
156,2019_1120_1266,0.5,2019,1120,1266,5,5,Y,X,0
157,2019_1120_1268,0.5,2019,1120,1268,5,6,Y,W,0
158,2019_1120_1276,0.5,2019,1120,1276,5,2,Y,X,0
159,2019_1120_1277,0.5,2019,1120,1277,5,2,Y,W,0
160,2019_1120_1278,0.5,2019,1120,1278,5,10,Y,W,0
161,2019_1120_1279,0.5,2019,1120,1279,5,8,Y,Z,0
162,2019_1120_1280,0.5,2019,1120,1280,5,5,Y,W,0
163,2019_1120_1285,0.5,2019,1120,1285,5,15,Y,X,0
164,2019_1120_1293,0.5,2019,1120,1293,5,12,Y,X,0
165,2019_1120_1295,0.5,2019,1120,1295,5,16,Y,W,0
166,2019_1120_1297,0.5,2019,1120,1297,5,14,Y,X,0
167,2019_1120_1300,0.5,2019,1120,1300,5,16,Y,W,0
168,2019_1120_1305,0.5,2019,1120,1305,5,7,Y,X,0
169,2019_1120_1308,0.5,2019,1120,1308,5,12,Y,Y,0
170,2019_1120_1314,0.5,2019,1120,1314,5,1,Y,Y,0
171,2019_1120_1318,0.5,2019,1120,1318,5,13,Y,Y,0
172,2019_1120_1326,0.5,2019,1120,1326,5,11,Y,Y,0
173,2019_1120_1328,0.5,2019,1120,1328,5,9,Y,Z,0
174,2019_1120_1330,0.5,2019,1120,1330,5,14,Y,Z,0
175,2019_1120_1332,0.5,2019,1120,1332,5,12,Y,Z,0
176,2019_1120_1341,0.5,2019,1120,1341,5,16,Y,X,0
177,2019_1120_1345,0.5,2019,1120,1345,5,3,Y,Z,0
178,2019_1120_1371,0.5,2019,1120,1371,5,10,Y,Y,0
179,2019_1120_1385,0.5,2019,1120,1385,5,11,Y,X,0
180,2019_1120_1387,0.5,2019,1120,1387,5,13,Y,W,0
181,2019_1120_1388,0.5,2019,1120,1388,5,11,Y,Z,0
182,2019_1120_1393,0.5,2019,1120,1393,5,8,Y,X,0
183,2019_1120_1396,0.5,2019,1120,1396,5,11,Y,W,0
184,2019_1120_1397,0.5,2019,1120,1397,5,2,Y,Z,0
185,2019_1120_1403,0.5,2019,1120,1403,5,3,Y,X,0
186,2019_1120_1414,0.5,2019,1120,1414,5,13,Y,Z,0
187,2019_1120_1416,0.5,2019,1120,1416,5,9,Y,W,0
188,2019_1120_1429,0.5,2019,1120,1429,5,8,Y,Y,0
189,2019_1120_1433,0.5,2019,1120,1433,5,8,Y,W,0
190,2019_1120_1436,0.5,2019,1120,1436,5,13,Y,X,0
191,2019_1120_1437,0.5,2019,1120,1437,5,6,Y,Z,0
192,2019_1120_1438,0.5,2019,1120,1438,5,1,Y,Z,0
193,2019_1120_1439,0.5,2019,1120,1439,5,4,Y,W,0
194,2019_1120_1449,0.5,2019,1120,1449,5,9,Y,Y,0
195,2019_1120_1458,0.5,2019,1120,1458,5,5,Y,Z,0
196,2019_1120_1459,0.5,2019,1120,1459,5,7,Y,Y,0
197,2019_1120_1463,0.5,2019,1120,1463,5,14,Y,W,0
198,2019_1124_1125,0.5,2019,1124,1125,9,11,X,W,0
199,2019_1124_1133,0.5,2019,1124,1133,9,15,X,W,0
200,2019_1124_1138,0.5,2019,1124,1138,9,6,X,X,0
201,2019_1124_1153,0.5,2019,1124,1153,9,7,X,Z,0
202,2019_1124_1159,0.5,2019,1124,1159,9,15,X,Z,0
203,2019_1124_1181,0.5,2019,1124,1181,9,1,X,W,0
204,2019_1124_1192,0.5,2019,1124,1192,9,16,X,X,0
205,2019_1124_1196,0.5,2019,1124,1196,9,10,X,X,0
206,2019_1124_1199,0.5,2019,1124,1199,9,4,X,X,0
207,2019_1124_1205,0.5,2019,1124,1205,9,16,X,Z,0
208,2019_1124_1209,0.5,2019,1124,1209,9,14,X,Y,0
209,2019_1124_1211,0.5,2019,1124,1211,9,1,X,X,0
210,2019_1124_1222,0.5,2019,1124,1222,9,3,X,Y,0
211,2019_1124_1233,0.5,2019,1124,1233,9,16,X,Y,0
212,2019_1124_1234,0.5,2019,1124,1234,9,10,X,Z,0
213,2019_1124_1235,0.5,2019,1124,1235,9,6,X,Y,0
214,2019_1124_1242,0.5,2019,1124,1242,9,4,X,Y,0
215,2019_1124_1243,0.5,2019,1124,1243,9,4,X,Z,0
216,2019_1124_1246,0.5,2019,1124,1246,9,2,X,Y,0
217,2019_1124_1251,0.5,2019,1124,1251,9,12,X,W,0
218,2019_1124_1257,0.5,2019,1124,1257,9,7,X,W,0
219,2019_1124_1261,0.5,2019,1124,1261,9,3,X,W,0
220,2019_1124_1266,0.5,2019,1124,1266,9,5,X,X,0
221,2019_1124_1268,0.5,2019,1124,1268,9,6,X,W,0
222,2019_1124_1276,0.5,2019,1124,1276,9,2,X,X,0
223,2019_1124_1277,0.5,2019,1124,1277,9,2,X,W,0
224,2019_1124_1278,0.5,2019,1124,1278,9,10,X,W,0
225,2019_1124_1279,0.5,2019,1124,1279,9,8,X,Z,0
226,2019_1124_1280,0.5,2019,1124,1280,9,5,X,W,0
227,2019_1124_1285,0.5,2019,1124,1285,9,15,X,X,0
228,2019_1124_1293,0.5,2019,1124,1293,9,12,X,X,0
229,2019_1124_1295,0.5,2019,1124,1295,9,16,X,W,0
230,2019_1124_1297,0.5,2019,1124,1297,9,14,X,X,0
231,2019_1124_1300,0.5,2019,1124,1300,9,16,X,W,0
232,2019_1124_1305,0.5,2019,1124,1305,9,7,X,X,0
233,2019_1124_1308,0.5,2019,1124,1308,9,12,X,Y,0
234,2019_1124_1314,0.5,2019,1124,1314,9,1,X,Y,0
235,2019_1124_1318,0.5,2019,1124,1318,9,13,X,Y,0
236,2019_1124_1326,0.5,2019,1124,1326,9,11,X,Y,0
237,2019_1124_1328,0.5,2019,1124,1328,9,9,X,Z,0
238,2019_1124_1330,0.5,2019,1124,1330,9,14,X,Z,0
239,2019_1124_1332,0.5,2019,1124,1332,9,12,X,Z,0
240,2019_1124_1341,0.5,2019,1124,1341,9,16,X,X,0
241,2019_1124_1345,0.5,2019,1124,1345,9,3,X,Z,0
242,2019_1124_1371,0.5,2019,1124,1371,9,10,X,Y,0
243,2019_1124_1385,0.5,2019,1124,1385,9,11,X,X,0
244,2019_1124_1387,0.5,2019,1124,1387,9,13,X,W,0
245,2019_1124_1388,0.5,2019,1124,1388,9,11,X,Z,0
246,2019_1124_1393,0.5,2019,1124,1393,9,8,X,X,0
247,2019_1124_1396,0.5,2019,1124,1396,9,11,X,W,0
248,2019_1124_1397,0.5,2019,1124,1397,9,2,X,Z,0
249,2019_1124_1403,0.5,2019,1124,1403,9,3,X,X,0
250,2019_1124_1414,0.5,2019,1124,1414,9,13,X,Z,0
251,2019_1124_1416,0.5,2019,1124,1416,9,9,X,W,0
252,2019_1124_1429,0.5,2019,1124,1429,9,8,X,Y,0
253,2019_1124_1433,0.5,2019,1124,1433,9,8,X,W,0
254,2019_1124_1436,0.5,2019,1124,1436,9,13,X,X,0
255,2019_1124_1437,0.5,2019,1124,1437,9,6,X,Z,0
256,2019_1124_1438,0.5,2019,1124,1438,9,1,X,Z,0
257,2019_1124_1439,0.5,2019,1124,1439,9,4,X,W,0
258,2019_1124_1449,0.5,2019,1124,1449,9,9,X,Y,0
259,2019_1124_1458,0.5,2019,1124,1458,9,5,X,Z,0
260,2019_1124_1459,0.5,2019,1124,1459,9,7,X,Y,0
261,2019_1124_1463,0.5,2019,1124,1463,9,14,X,W,0
262,2019_1125_1133,0.5,2019,1125,1133,11,15,W,W,0
263,2019_1125_1138,0.5,2019,1125,1138,11,6,W,X,0
264,2019_1125_1153,0.5,2019,1125,1153,11,7,W,Z,0
265,2019_1125_1159,0.5,2019,1125,1159,11,15,W,Z,0
266,2019_1125_1181,0.5,2019,1125,1181,11,1,W,W,0
267,2019_1125_1192,0.5,2019,1125,1192,11,16,W,X,0
268,2019_1125_1196,0.5,2019,1125,1196,11,10,W,X,0
269,2019_1125_1199,0.5,2019,1125,1199,11,4,W,X,0
270,2019_1125_1205,0.5,2019,1125,1205,11,16,W,Z,0
271,2019_1125_1209,0.5,2019,1125,1209,11,14,W,Y,0
272,2019_1125_1211,0.5,2019,1125,1211,11,1,W,X,0
273,2019_1125_1222,0.5,2019,1125,1222,11,3,W,Y,0
274,2019_1125_1233,0.5,2019,1125,1233,11,16,W,Y,0
275,2019_1125_1234,0.5,2019,1125,1234,11,10,W,Z,0
276,2019_1125_1235,0.5,2019,1125,1235,11,6,W,Y,0
277,2019_1125_1242,0.5,2019,1125,1242,11,4,W,Y,0
278,2019_1125_1243,0.5,2019,1125,1243,11,4,W,Z,0
279,2019_1125_1246,0.5,2019,1125,1246,11,2,W,Y,0
280,2019_1125_1251,0.5,2019,1125,1251,11,12,W,W,0
281,2019_1125_1257,0.5,2019,1125,1257,11,7,W,W,0
282,2019_1125_1261,0.5,2019,1125,1261,11,3,W,W,0
283,2019_1125_1266,0.5,2019,1125,1266,11,5,W,X,0
284,2019_1125_1268,0.5,2019,1125,1268,11,6,W,W,0
285,2019_1125_1276,0.5,2019,1125,1276,11,2,W,X,0
286,2019_1125_1277,0.5,2019,1125,1277,11,2,W,W,0
287,2019_1125_1278,0.5,2019,1125,1278,11,10,W,W,0
288,2019_1125_1279,0.5,2019,1125,1279,11,8,W,Z,0
289,2019_1125_1280,0.5,2019,1125,1280,11,5,W,W,0
290,2019_1125_1285,0.5,2019,1125,1285,11,15,W,X,0
291,2019_1125_1293,0.5,2019,1125,1293,11,12,W,X,0
292,2019_1125_1295,0.5,2019,1125,1295,11,16,W,W,0
293,2019_1125_1297,0.5,2019,1125,1297,11,14,W,X,0
294,2019_1125_1300,0.5,2019,1125,1300,11,16,W,W,0
295,2019_1125_1305,0.5,2019,1125,1305,11,7,W,X,0
296,2019_1125_1308,0.5,2019,1125,1308,11,12,W,Y,0
297,2019_1125_1314,0.5,2019,1125,1314,11,1,W,Y,0
298,2019_1125_1318,0.5,2019,1125,1318,11,13,W,Y,0
299,2019_1125_1326,0.5,2019,1125,1326,11,11,W,Y,0
300,2019_1125_1328,0.5,2019,1125,1328,11,9,W,Z,0
301,2019_1125_1330,0.5,2019,1125,1330,11,14,W,Z,0
302,2019_1125_1332,0.5,2019,1125,1332,11,12,W,Z,0
303,2019_1125_1341,0.5,2019,1125,1341,11,16,W,X,0
304,2019_1125_1345,0.5,2019,1125,1345,11,3,W,Z,0
305,2019_1125_1371,0.5,2019,1125,1371,11,10,W,Y,0
306,2019_1125_1385,0.5,2019,1125,1385,11,11,W,X,0
307,2019_1125_1387,0.5,2019,1125,1387,11,13,W,W,0
308,2019_1125_1388,0.5,2019,1125,1388,11,11,W,Z,0
309,2019_1125_1393,0.5,2019,1125,1393,11,8,W,X,0
310,2019_1125_1396,0.5,2019,1125,1396,11,11,W,W,0
311,2019_1125_1397,0.5,2019,1125,1397,11,2,W,Z,0
312,2019_1125_1403,0.5,2019,1125,1403,11,3,W,X,0
313,2019_1125_1414,0.5,2019,1125,1414,11,13,W,Z,0
314,2019_1125_1416,0.5,2019,1125,1416,11,9,W,W,0
315,2019_1125_1429,0.5,2019,1125,1429,11,8,W,Y,0
316,2019_1125_1433,0.5,2019,1125,1433,11,8,W,W,0
317,2019_1125_1436,0.5,2019,1125,1436,11,13,W,X,0
318,2019_1125_1437,0.5,2019,1125,1437,11,6,W,Z,0
319,2019_1125_1438,0.5,2019,1125,1438,11,1,W,Z,0
320,2019_1125_1439,0.5,2019,1125,1439,11,4,W,W,0
321,2019_1125_1449,0.5,2019,1125,1449,11,9,W,Y,0
322,2019_1125_1458,0.5,2019,1125,1458,11,5,W,Z,0
323,2019_1125_1459,0.5,2019,1125,1459,11,7,W,Y,0
324,2019_1125_1463,0.5,2019,1125,1463,11,14,W,W,0
325,2019_1133_1138,0.5,2019,1133,1138,15,6,W,X,0
326,2019_1133_1153,0.5,2019,1133,1153,15,7,W,Z,0
327,2019_1133_1159,0.5,2019,1133,1159,15,15,W,Z,0
328,2019_1133_1181,0.5,2019,1133,1181,15,1,W,W,0
329,2019_1133_1192,0.5,2019,1133,1192,15,16,W,X,0
330,2019_1133_1196,0.5,2019,1133,1196,15,10,W,X,0
331,2019_1133_1199,0.5,2019,1133,1199,15,4,W,X,0
332,2019_1133_1205,0.5,2019,1133,1205,15,16,W,Z,0
333,2019_1133_1209,0.5,2019,1133,1209,15,14,W,Y,0
334,2019_1133_1211,0.5,2019,1133,1211,15,1,W,X,0
335,2019_1133_1222,0.5,2019,1133,1222,15,3,W,Y,0
336,2019_1133_1233,0.5,2019,1133,1233,15,16,W,Y,0
337,2019_1133_1234,0.5,2019,1133,1234,15,10,W,Z,0
338,2019_1133_1235,0.5,2019,1133,1235,15,6,W,Y,0
339,2019_1133_1242,0.5,2019,1133,1242,15,4,W,Y,0
340,2019_1133_1243,0.5,2019,1133,1243,15,4,W,Z,0
341,2019_1133_1246,0.5,2019,1133,1246,15,2,W,Y,0
342,2019_1133_1251,0.5,2019,1133,1251,15,12,W,W,0
343,2019_1133_1257,0.5,2019,1133,1257,15,7,W,W,0
344,2019_1133_1261,0.5,2019,1133,1261,15,3,W,W,0
345,2019_1133_1266,0.5,2019,1133,1266,15,5,W,X,0
346,2019_1133_1268,0.5,2019,1133,1268,15,6,W,W,0
347,2019_1133_1276,0.5,2019,1133,1276,15,2,W,X,0
348,2019_1133_1277,0.5,2019,1133,1277,15,2,W,W,0
349,2019_1133_1278,0.5,2019,1133,1278,15,10,W,W,0
350,2019_1133_1279,0.5,2019,1133,1279,15,8,W,Z,0
351,2019_1133_1280,0.5,2019,1133,1280,15,5,W,W,0
352,2019_1133_1285,0.5,2019,1133,1285,15,15,W,X,0
353,2019_1133_1293,0.5,2019,1133,1293,15,12,W,X,0
354,2019_1133_1295,0.5,2019,1133,1295,15,16,W,W,0
355,2019_1133_1297,0.5,2019,1133,1297,15,14,W,X,0
356,2019_1133_1300,0.5,2019,1133,1300,15,16,W,W,0
357,2019_1133_1305,0.5,2019,1133,1305,15,7,W,X,0
358,2019_1133_1308,0.5,2019,1133,1308,15,12,W,Y,0
359,2019_1133_1314,0.5,2019,1133,1314,15,1,W,Y,0
360,2019_1133_1318,0.5,2019,1133,1318,15,13,W,Y,0
361,2019_1133_1326,0.5,2019,1133,1326,15,11,W,Y,0
362,2019_1133_1328,0.5,2019,1133,1328,15,9,W,Z,0
363,2019_1133_1330,0.5,2019,1133,1330,15,14,W,Z,0
364,2019_1133_1332,0.5,2019,1133,1332,15,12,W,Z,0
365,2019_1133_1341,0.5,2019,1133,1341,15,16,W,X,0
366,2019_1133_1345,0.5,2019,1133,1345,15,3,W,Z,0
367,2019_1133_1371,0.5,2019,1133,1371,15,10,W,Y,0
368,2019_1133_1385,0.5,2019,1133,1385,15,11,W,X,0
369,2019_1133_1387,0.5,2019,1133,1387,15,13,W,W,0
370,2019_1133_1388,0.5,2019,1133,1388,15,11,W,Z,0
371,2019_1133_1393,0.5,2019,1133,1393,15,8,W,X,0
372,2019_1133_1396,0.5,2019,1133,1396,15,11,W,W,0
373,2019_1133_1397,0.5,2019,1133,1397,15,2,W,Z,0
374,2019_1133_1403,0.5,2019,1133,1403,15,3,W,X,0
375,2019_1133_1414,0.5,2019,1133,1414,15,13,W,Z,0
376,2019_1133_1416,0.5,2019,1133,1416,15,9,W,W,0
377,2019_1133_1429,0.5,2019,1133,1429,15,8,W,Y,0
378,2019_1133_1433,0.5,2019,1133,1433,15,8,W,W,0
379,2019_1133_1436,0.5,2019,1133,1436,15,13,W,X,0
380,2019_1133_1437,0.5,2019,1133,1437,15,6,W,Z,0
381,2019_1133_1438,0.5,2019,1133,1438,15,1,W,Z,0
382,2019_1133_1439,0.5,2019,1133,1439,15,4,W,W,0
383,2019_1133_1449,0.5,2019,1133,1449,15,9,W,Y,0
384,2019_1133_1458,0.5,2019,1133,1458,15,5,W,Z,0
385,2019_1133_1459,0.5,2019,1133,1459,15,7,W,Y,0
386,2019_1133_1463,0.5,2019,1133,1463,15,14,W,W,0
387,2019_1138_1153,0.5,2019,1138,1153,6,7,X,Z,0
388,2019_1138_1159,0.5,2019,1138,1159,6,15,X,Z,0
389,2019_1138_1181,0.5,2019,1138,1181,6,1,X,W,0
390,2019_1138_1192,0.5,2019,1138,1192,6,16,X,X,0
391,2019_1138_1196,0.5,2019,1138,1196,6,10,X,X,0
392,2019_1138_1199,0.5,2019,1138,1199,6,4,X,X,0
393,2019_1138_1205,0.5,2019,1138,1205,6,16,X,Z,0
394,2019_1138_1209,0.5,2019,1138,1209,6,14,X,Y,0
395,2019_1138_1211,0.5,2019,1138,1211,6,1,X,X,0
396,2019_1138_1222,0.5,2019,1138,1222,6,3,X,Y,0
397,2019_1138_1233,0.5,2019,1138,1233,6,16,X,Y,0
398,2019_1138_1234,0.5,2019,1138,1234,6,10,X,Z,0
