,ID,Pred,Season,LTeam,RTeam,SeedL,SeedR,RegL,RegR,Upset,SDiff_0,SDiff_1,SDiff_2,SDiff_3,SDiff_4,SDiff_5,SDiff_6,SDiff_7,SDiff_8,LWins,LLoses,RWins,RLoses,LWPC,RWPC,DiffWPC,LConDist,RConDist,ConDist_0,ConDist_1,ConDist_2,ConDist_3,ConDist_4,Acutals
3397,2018_1242_1335,1.0,2018,1242,1335,0,8,X,X,0,0,0,0,0,0,0,0,0,1,27.0,7.0,23.0,8.0,0.7941176470588235,0.7419354838709677,0.052182163187855735,3.0,2.0,0,1,0,0,0,0.051091038748122444
3398,2018_1172_1246,0.0,2018,1172,1246,6,2,Y,Y,0,0,0,0,0,1,0,0,0,0,21.0,11.0,24.0,10.0,0.65625,0.7058823529411765,-0.049632352941176516,3.0,3.0,1,0,0,0,0,0.2811638469081451
3399,2018_1260_1274,1.0,2018,1260,1274,5,3,Y,Y,1,0,0,1,0,0,0,0,0,0,27.0,5.0,22.0,9.0,0.84375,0.7096774193548387,0.13407258064516125,3.0,0.0,0,0,0,1,0,0.2429873083097127
3400,2018_1276_1285,1.0,2018,1276,1285,1,7,Z,Z,0,0,0,0,0,0,0,1,0,0,27.0,7.0,24.0,7.0,0.7941176470588235,0.7741935483870968,0.01992409867172673,4.0,3.0,0,1,0,0,0,0.11430696924103378
3401,2018_1326_1355,1.0,2018,1326,1355,2,6,Z,Z,0,0,0,0,0,1,0,0,0,0,24.0,8.0,24.0,6.0,0.75,0.8,-0.050000000000000044,0.0,3.0,0,0,0,1,0,0.19024073154262439
3402,2018_1328_1348,0.0,2018,1328,1348,5,3,X,X,0,0,0,1,0,0,0,0,0,0,18.0,13.0,25.0,7.0,0.5806451612903226,0.78125,-0.20060483870967738,0.0,2.0,0,0,1,0,0,0.35223086371400814
3403,2018_1301_1371,0.0,2018,1301,1371,4,4,X,X,0,1,0,0,0,0,0,0,0,0,21.0,11.0,21.0,11.0,0.65625,0.65625,0.0,0.0,0.0,1,0,0,0,0,0.5555935616778492
3404,2018_1397_1460,1.0,2018,1397,1460,1,7,Y,Y,0,0,0,0,0,0,0,1,0,0,25.0,8.0,23.0,9.0,0.7575757575757576,0.71875,0.03882575757575757,2.0,3.0,0,1,0,0,0,0.11381434455711513
3405,2018_1372_1403,0.0,2018,1372,1403,7,1,W,W,0,0,0,0,0,0,0,1,0,0,24.0,6.0,24.0,9.0,0.8,0.7272727272727273,0.07272727272727275,3.0,1.0,0,0,1,0,0,0.10266279053657759
3406,2018_1347_1437,0.0,2018,1347,1437,8,0,W,W,0,0,0,0,0,0,0,0,0,1,20.0,12.0,30.0,4.0,0.625,0.8823529411764706,-0.25735294117647056,3.0,3.0,1,0,0,0,0,0.05316575954423801
3407,2018_1120_1158,1.0,2018,1120,1158,2,6,X,X,0,0,0,0,0,1,0,0,0,0,25.0,7.0,24.0,7.0,0.78125,0.7741935483870968,0.007056451612903247,0.0,3.0,0,0,0,1,0,0.18798411263987092
3408,2018_1116_1139,0.0,2018,1116,1139,3,5,W,W,1,0,0,1,0,0,0,0,0,0,23.0,11.0,20.0,13.0,0.6764705882352942,0.6060606060606061,0.07040998217468808,2.0,1.0,0,1,0,0,0,0.36071411469359815
3409,2018_1153_1209,1.0,2018,1153,1209,1,7,Y,Y,0,0,0,0,0,0,0,1,0,0,30.0,4.0,22.0,10.0,0.8823529411764706,0.6875,0.19485294117647056,3.0,3.0,1,0,0,0,0,0.10617330085392729
3410,2018_1155_1308,1.0,2018,1155,1308,2,6,X,X,0,0,0,0,0,1,0,0,0,0,23.0,9.0,25.0,5.0,0.71875,0.8333333333333334,-0.11458333333333337,1.0,3.0,0,0,1,0,0,0.27071759792022404
3411,2018_1199_1281,1.0,2018,1199,1281,4,4,Z,Z,1,1,0,0,0,0,0,0,0,0,20.0,11.0,19.0,12.0,0.6451612903225806,0.6129032258064516,0.032258064516129004,0.0,0.0,1,0,0,0,0,0.553538375089876
3412,2018_1166_1243,0.0,2018,1166,1243,4,4,Y,Y,1,1,0,0,0,0,0,0,0,0,20.0,11.0,22.0,11.0,0.6451612903225806,0.6666666666666666,-0.021505376344086002,0.0,1.0,0,1,0,0,0,0.5662785485929458
3413,2018_1267_1455,1.0,2018,1267,1455,6,2,W,W,1,0,0,0,0,1,0,0,0,0,23.0,10.0,25.0,7.0,0.696969696969697,0.78125,-0.08428030303030298,3.0,1.0,0,0,1,0,0,0.2691773326836668
3414,2018_1137_1277,0.0,2018,1137,1277,7,1,X,X,0,0,0,0,0,0,0,1,0,0,25.0,9.0,29.0,4.0,0.7352941176470589,0.8787878787878788,-0.1434937611408199,3.0,1.0,0,0,1,0,0,0.10791521705012942
3415,2018_1305_1400,1.0,2018,1305,1400,3,5,Y,Y,0,0,0,1,0,0,0,0,0,0,27.0,7.0,19.0,14.0,0.7941176470588235,0.5757575757575758,0.21836007130124768,1.0,1.0,1,0,0,0,0,0.34338081325271014
3416,2018_1252_1314,0.0,2018,1252,1314,7,1,Z,Z,0,0,0,0,0,0,0,1,0,0,20.0,9.0,25.0,10.0,0.6896551724137931,0.7142857142857143,-0.024630541871921152,3.0,3.0,1,0,0,0,0,0.1116664388395045
3417,2018_1168_1345,0.0,2018,1168,1345,7,1,W,W,0,0,0,0,0,0,0,1,0,0,18.0,11.0,28.0,6.0,0.6206896551724138,0.8235294117647058,-0.20283975659229203,3.0,2.0,0,1,0,0,0,0.12025382715677477
3418,2018_1393_1395,1.0,2018,1393,1395,5,3,X,X,1,0,0,1,0,0,0,0,0,0,20.0,13.0,21.0,11.0,0.6060606060606061,0.65625,-0.05018939393939392,1.0,0.0,0,1,0,0,0,0.36791740248448407
3419,2018_1344_1401,0.0,2018,1344,1401,5,3,Z,Z,0,0,0,1,0,0,0,0,0,0,21.0,13.0,20.0,12.0,0.6176470588235294,0.625,-0.007352941176470562,2.0,0.0,0,0,1,0,0,0.34094402721615574
3420,2018_1420_1438,1.0,2018,1420,1438,8,0,Y,Y,1,0,0,0,0,0,0,0,0,1,21.0,10.0,31.0,2.0,0.6774193548387096,0.9393939393939394,-0.2619745845552298,3.0,3.0,1,0,0,0,0,0.05322579540254769
3421,2018_1293_1452,0.0,2018,1293,1452,6,2,W,W,0,0,0,0,0,1,0,0,0,0,24.0,5.0,24.0,10.0,0.8275862068965517,0.7058823529411765,0.1217038539553752,2.0,2.0,1,0,0,0,0,0.2723194972096239
3422,2018_1411_1462,0.0,2018,1411,1462,8,0,Z,Z,0,0,0,0,0,0,0,0,0,1,15.0,19.0,28.0,5.0,0.4411764705882353,0.8484848484848485,-0.4073083778966132,3.0,1.0,0,0,1,0,0,0.05165778581081651
3423,2018_1181_1348,1.0,2018,1181,1348,1,3,X,X,0,0,0,1,0,0,0,0,0,0,26.0,7.0,25.0,7.0,0.7878787878787878,0.78125,0.006628787878787845,1.0,2.0,0,1,0,0,0,0.36451613386390286
3424,2018_1211_1326,1.0,2018,1211,1326,2,2,Z,Z,0,1,0,0,0,0,0,0,0,0,30.0,4.0,24.0,8.0,0.8823529411764706,0.75,0.13235294117647056,3.0,0.0,0,0,0,1,0,0.4205090501611647
3425,2018_1242_1371,1.0,2018,1242,1371,0,4,X,X,0,0,0,0,0,1,0,0,0,0,27.0,7.0,21.0,11.0,0.7941176470588235,0.65625,0.13786764705882348,3.0,0.0,0,0,0,1,0,0.18288823542499147
3426,2018_1138_1246,0.0,2018,1138,1246,6,2,Y,Y,0,0,0,0,0,1,0,0,0,0,25.0,8.0,24.0,10.0,0.7575757575757576,0.7058823529411765,0.05169340463458105,3.0,3.0,1,0,0,0,0,0.27591232682170896
3427,2018_1260_1397,1.0,2018,1260,1397,5,1,Y,Y,1,0,0,0,0,1,0,0,0,0,27.0,5.0,25.0,8.0,0.84375,0.7575757575757576,0.08617424242424243,3.0,2.0,0,1,0,0,0,0.2817327242193651
3428,2018_1222_1276,0.0,2018,1222,1276,3,1,Z,Z,0,0,0,1,0,0,0,0,0,0,26.0,7.0,27.0,7.0,0.7878787878787878,0.7941176470588235,-0.0062388591800356386,2.0,4.0,0,0,1,0,0,0.3408794648138056
3429,2018_1196_1403,0.0,2018,1196,1403,3,1,W,W,0,0,0,1,0,0,0,0,0,0,20.0,12.0,24.0,9.0,0.625,0.7272727272727273,-0.10227272727272729,0.0,1.0,0,1,0,0,0,0.3710468280495895
3430,2018_1104_1437,0.0,2018,1104,1437,4,0,W,W,0,0,0,0,0,1,0,0,0,0,19.0,15.0,30.0,4.0,0.5588235294117647,0.8823529411764706,-0.32352941176470584,2.0,3.0,0,1,0,0,0,0.30359980123863717
3431,2018_1120_1155,0.0,2018,1120,1155,2,2,X,X,1,1,0,0,0,0,0,0,0,0,25.0,7.0,23.0,9.0,0.78125,0.71875,0.0625,0.0,1.0,0,1,0,0,0,0.560949714854858
3432,2018_1199_1462,1.0,2018,1199,1462,4,0,Z,Z,1,0,0,0,0,1,0,0,0,0,20.0,11.0,28.0,5.0,0.6451612903225806,0.8484848484848485,-0.20332355816226788,0.0,1.0,0,1,0,0,0,0.2970851374059711
3433,2018_1243_1420,1.0,2018,1243,1420,4,8,Y,Y,0,0,0,0,0,1,0,0,0,0,22.0,11.0,21.0,10.0,0.6666666666666666,0.6774193548387096,-0.010752688172043001,1.0,3.0,0,0,1,0,0,0.2654631084668731
3434,2018_1153_1305,0.0,2018,1153,1305,1,3,Y,Y,1,0,0,1,0,0,0,0,0,0,30.0,4.0,27.0,7.0,0.8823529411764706,0.7941176470588235,0.08823529411764708,3.0,1.0,0,0,1,0,0,0.335426236342192
3435,2018_1139_1345,0.0,2018,1139,1345,5,1,W,W,0,0,0,0,0,1,0,0,0,0,20.0,13.0,28.0,6.0,0.6060606060606061,0.8235294117647058,-0.21746880570409977,1.0,2.0,0,1,0,0,0,0.297847553989553
3436,2018_1277_1393,0.0,2018,1277,1393,1,5,X,X,1,0,0,0,0,1,0,0,0,0,29.0,4.0,20.0,13.0,0.8787878787878788,0.6060606060606061,0.2727272727272727,1.0,1.0,1,0,0,0,0,0.2646696668343825
3437,2018_1314_1401,0.0,2018,1314,1401,1,3,Z,Z,1,0,0,1,0,0,0,0,0,0,25.0,10.0,20.0,12.0,0.7142857142857143,0.625,0.0892857142857143,3.0,0.0,0,0,0,1,0,0.24511839359027882
3438,2018_1267_1452,0.0,2018,1267,1452,6,2,W,W,0,0,0,0,0,1,0,0,0,0,23.0,10.0,24.0,10.0,0.696969696969697,0.7058823529411765,-0.0089126559714795,3.0,2.0,0,1,0,0,0,0.2867219151864757
3439,2018_1199_1211,1.0,2018,1199,1211,4,2,Z,Z,1,0,0,1,0,0,0,0,0,0,20.0,11.0,30.0,4.0,0.6451612903225806,0.8823529411764706,-0.23719165085388993,0.0,3.0,0,0,0,1,0,0.2610311333032461
3440,2018_1243_1246,1.0,2018,1243,1246,4,2,Y,Y,1,0,0,1,0,0,0,0,0,0,22.0,11.0,24.0,10.0,0.6666666666666666,0.7058823529411765,-0.03921568627450989,1.0,3.0,0,0,1,0,0,0.34279300272356816
3441,2018_1260_1305,1.0,2018,1260,1305,5,3,Y,Y,1,0,0,1,0,0,0,0,0,0,27.0,5.0,27.0,7.0,0.84375,0.7941176470588235,0.049632352941176516,3.0,1.0,0,0,1,0,0,0.3376492708637529
3442,2018_1276_1401,1.0,2018,1276,1401,1,3,Z,Z,0,0,0,1,0,0,0,0,0,0,27.0,7.0,20.0,12.0,0.7941176470588235,0.625,0.16911764705882348,4.0,0.0,0,0,0,0,1,0.4203305035388963
3443,2018_1181_1393,1.0,2018,1181,1393,1,5,X,X,0,0,0,0,0,1,0,0,0,0,26.0,7.0,20.0,13.0,0.7878787878787878,0.6060606060606061,0.18181818181818177,1.0,1.0,1,0,0,0,0,0.2692579891276387
3444,2018_1155_1242,0.0,2018,1155,1242,2,0,X,X,0,0,0,1,0,0,0,0,0,0,23.0,9.0,27.0,7.0,0.71875,0.7941176470588235,-0.07536764705882348,1.0,3.0,0,0,1,0,0,0.34489666920821727
3445,2018_1345_1403,0.0,2018,1345,1403,1,1,W,W,1,1,0,0,0,0,0,0,0,0,28.0,6.0,24.0,9.0,0.8235294117647058,0.7272727272727273,0.09625668449197855,2.0,1.0,0,1,0,0,0,0.558804342180639
3446,2018_1437_1452,1.0,2018,1437,1452,0,2,W,W,0,0,0,1,0,0,0,0,0,0,30.0,4.0,24.0,10.0,0.8823529411764706,0.7058823529411765,0.17647058823529405,3.0,2.0,0,1,0,0,0,0.35443048183955167
3447,2018_1243_1260,0.0,2018,1243,1260,4,5,Y,Y,1,0,1,0,0,0,0,0,0,0,22.0,11.0,27.0,5.0,0.6666666666666666,0.84375,-0.17708333333333337,1.0,3.0,0,0,1,0,0,0.5105591827335774
3448,2018_1199_1276,0.0,2018,1199,1276,4,1,Z,Z,0,0,0,0,1,0,0,0,0,0,20.0,11.0,27.0,7.0,0.6451612903225806,0.7941176470588235,-0.14895635673624286,0.0,4.0,0,0,0,0,1,0.48593113943904503
3449,2018_1181_1242,0.0,2018,1181,1242,1,0,X,X,0,0,1,0,0,0,0,0,0,0,26.0,7.0,27.0,7.0,0.7878787878787878,0.7941176470588235,-0.0062388591800356386,1.0,3.0,0,0,1,0,0,0.49954490501774335
3450,2018_1403_1437,0.0,2018,1403,1437,1,0,W,W,0,0,1,0,0,0,0,0,0,0,24.0,9.0,30.0,4.0,0.7272727272727273,0.8823529411764706,-0.15508021390374327,1.0,3.0,0,0,1,0,0,0.5091409993850152
3451,2018_1260_1276,0.0,2018,1260,1276,5,1,Y,Z,0,0,0,0,0,1,0,0,0,0,27.0,5.0,27.0,7.0,0.84375,0.7941176470588235,0.049632352941176516,3.0,4.0,0,1,0,0,0,0.28364381999942884
3452,2018_1242_1437,0.0,2018,1242,1437,0,0,X,W,1,1,0,0,0,0,0,0,0,0,27.0,7.0,30.0,4.0,0.7941176470588235,0.8823529411764706,-0.08823529411764708,3.0,3.0,1,0,0,0,0,0.5612051919931755
3453,2018_1276_1437,0.0,2018,1276,1437,1,0,Z,W,0,0,1,0,0,0,0,0,0,0,27.0,7.0,30.0,4.0,0.7941176470588235,0.8823529411764706,-0.08823529411764708,4.0,3.0,0,1,0,0,0,0.5315102119763864
